,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu Rata-rata
Curah hujan,-0.04764525186084862,-0.04212859679273606,-0.09297545724740378,1,0.056465980546979065,-0.22869874940761717
Luas Panen,-0.04595084569184353,0.9056221550687524,1,-0.09297545724740378,-0.06112119033510339,0.11572628283288369
Kelembapan,-0.03347418550429418,-0.05231617821336474,-0.06112119033510339,0.056465980546979065,1,-0.4077993371190274
Suhu Rata-rata,0.004923408559449564,0.041159684212422706,0.11572628283288369,-0.22869874940761717,-0.4077993371190274,1
Produksi,0.18252690596535348,1,0.9056221550687524,-0.04212859679273606,-0.05231617821336474,0.041159684212422706
Tahun,1,0.18252690596535348,-0.04595084569184353,-0.04764525186084862,-0.03347418550429418,0.004923408559449564
